English (en),Hebrew (iw),Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
aback,נבוך,0,0,0,0,0,0,0,0,0,0
abacus,אַבַּקוּס,0,0,0,0,0,0,0,0,0,1
abandon,לִנְטוֹשׁ,0,1,0,0,0,1,0,1,0,0
abandoned,נָטוּשׁ,0,1,1,0,0,1,0,1,0,0
abandonment,נְטִישָׁה,0,1,1,0,0,1,0,1,1,0
abate,לְשַׁכֵּך,0,0,0,0,0,0,0,0,0,0
abatement,הַפחָתָה,0,0,0,0,0,0,0,0,0,0
abba,abba,1,0,0,0,0,0,0,0,0,0
abbot,רֹאשׁ מִנזָר,0,0,0,0,0,0,0,0,0,1
abbreviate,לְקַצֵר,0,0,0,0,0,0,0,0,0,0
abbreviation,נוֹטָרִיקוֹן,0,0,0,0,0,0,0,0,0,0
abdomen,בֶּטֶן,0,0,0,0,0,0,0,0,0,0
abdominal,בִּטנִי,0,0,0,0,0,0,0,0,0,0
abduction,חֲטִיפָה,0,1,0,0,0,1,0,1,1,0
aberrant,סוֹטֶה,0,1,0,0,0,0,0,0,0,0
aberration,סְטִיָה,0,1,0,0,1,0,0,0,0,0
abeyance,העמידה,0,0,0,0,0,0,0,0,0,0
abhor,לְתַעֵב,0,1,1,0,1,1,0,0,0,0
abhorrent,שָׂנוּא,0,1,1,0,1,1,0,0,0,0
abide,לציית,0,0,0,0,0,0,0,0,0,0
ability,יְכוֹלֶת,1,0,0,0,0,0,0,0,0,0
abject,בָּזוּי,0,1,0,0,1,0,0,0,0,0
ablation,כְּרִיתָה,0,0,0,0,0,0,0,0,0,0
ablaze,בָּאֵשׁ,0,0,0,0,0,0,0,0,0,0
abnormal,לֹא נוֹרמָלִי,0,1,0,0,1,0,0,0,0,0
aboard,עַל,0,0,0,0,0,0,0,0,0,0
abode,מָקוֹם,0,0,0,0,0,0,0,0,0,0
abolish,לְבַטֵל,0,1,1,0,0,0,0,0,0,0
abolition,ביטול,0,1,0,0,0,0,0,0,0,0
abominable,מְתוֹעָב,0,1,0,0,1,1,0,0,0,0
abomination,תוֹעֵבָה,0,1,1,0,1,1,0,0,0,0
aboriginal,קַדמוֹן,0,0,0,0,0,0,0,0,0,0
abort,לְהַפִּיל,0,1,0,0,0,0,0,0,0,0
abortion,הפלה,0,1,0,0,1,1,0,1,0,0
abortive,כּוֹשֵׁל,0,1,0,0,0,0,0,1,0,0
abound,בשפע,0,0,0,0,0,0,0,0,0,0
abovementioned,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0
abrasion,שְׁחִיקָה,0,1,0,0,0,0,0,0,0,0
abroad,מחוץ לארץ,0,0,0,0,0,0,0,0,0,0
abrogate,ביטול,0,1,0,0,0,0,0,0,0,0
abrupt,פִּתְאוֹמִי,0,0,0,0,0,0,0,0,1,0
abruptly,פִּתְאוֹם,0,0,0,0,0,0,0,0,0,0
abscess,מוּרְסָה,0,1,0,0,0,0,0,1,0,0
absence,הֶעְדֵר,0,1,0,0,0,1,0,1,0,0
absent,נֶעדָר,0,1,0,0,0,0,0,1,0,0
absentee,נִפקָד,0,1,0,0,0,0,0,1,0,0
absenteeism,הֵעָדְרוּת,0,1,0,0,0,0,0,0,0,0
absinthe,אַבְּסִינְתְ,0,0,0,0,0,0,0,0,0,0
absolute,מוּחלָט,1,0,0,0,0,0,0,0,0,0
absolution,מְחִילָה,1,0,0,0,0,0,1,0,0,1
absorbed,ספג,1,0,0,0,0,0,0,0,0,0
absorbent,סוֹפֵג,0,0,0,0,0,0,0,0,0,0
absorbing,מְרַתֵק,0,0,0,0,0,0,0,0,0,0
absorption,קְלִיטָה,0,0,0,0,0,0,0,0,0,0
abstain,לְהִתְנַזֵר,0,0,0,0,0,0,0,0,0,0
abstention,הִתנַזְרוּת,0,0,0,0,0,0,0,0,0,0
abstinence,פְּרִישׁוּת,0,0,0,0,0,0,0,0,0,0
abstract,תַקצִיר,0,0,0,0,0,0,0,0,0,0
abstraction,הַפשָׁטָה,0,0,0,0,0,0,0,0,0,0
absurd,אַבּסוּרדִי,0,1,0,0,0,0,0,0,0,0
absurdity,אַבּסוּרדִיוּת,0,1,0,0,0,0,0,0,0,0
abundance,שפע,1,1,0,1,1,0,1,0,0,1
abundant,שׁוֹפֵעַ,1,0,0,0,0,0,1,0,0,0
abuse,התעללות,0,1,1,0,1,1,0,1,0,0
abutment,מִשׁעֶנֶת,0,0,0,0,0,0,0,0,0,0
aby,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
abysmal,תְהוֹמִי,0,1,0,0,0,0,0,1,0,0
abyss,תהום,0,1,0,0,0,1,0,1,0,0
academic,אקדמי,1,0,0,0,0,0,0,0,0,1
academy,אֲקָדֶמִיָה,1,0,0,0,0,0,0,0,0,0
accede,לְהַסכִּים,0,0,0,0,0,0,0,0,0,0
